fkprocessnode	paramname	paramvalue	pkid	primarydata	resettoggle	tkparam	tkreset	tkservice	versionstamp
00000000-1111-0000-0000-000000000000	NationalPrefix		a03bbe9c-d811-406a-a08b-923792d65fad	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	InternationalPrefix		086f19d4-ef85-46fb-ac5e-f63ab8aa40f4	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	SubscriberPrefix		5181e1d6-a5d4-4967-8a59-d680b45918d4	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	UnknownPrefix		0ce17c02-9761-4704-9137-24321d8996d8	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ApplyIncomingPrefixToCDRs	F	39842d2e-d254-49f3-83b1-ac0c623b8f1b	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	InsertHyphensIn12DigitNumbers	F	2c8a0983-bdc4-4a71-b492-f375cc24f78e	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	AllowCallWaitingDuringInProgressOutboundAnalogCall	T	83636066-daa6-4ec9-b7ff-3c1e2990309b	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	PauseInSpeedDialInterDigitInterval_msec	60	6b813aff-d0c3-47f2-82e2-97326c9e4eab	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DisplayHuntPilotNameOrDNWhenAlerting	T	8c373f33-a87f-4c05-992f-5e927ee26927	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ApplyTransformationsOnRemoteNumber	F	a1792bce-72d1-46a7-8dc9-4b0ce1261c22	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	Asn1RoseEncoding	0	d67f6759-0238-4fb5-b140-67211b8f1afd	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	QsigVariant	0	138ce8ce-ec16-438a-a3ec-cafcedf52055	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CallerID		8fe95247-ec73-4f83-9388-928bff774abc	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CallingNameNotAvailableTimeout	2000	4b3c48ed-101a-4fa3-87ce-ec55c22e5ab5	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CgpnScreeningIndicator	4	f37c9e9a-754d-4f57-96da-d92616a03ee2	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	EnableOutboundNetworkTrunkCgpnRestriction	F	053d33cf-51bf-40b4-aca4-3e92618667e0	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ChangeBChannelMaintenanceStatus1		54413dd2-7556-47d3-a4fa-c345264e4372	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ChangeBChannelMaintenanceStatus2		80a3c24f-49f8-4c18-b046-1b994fd32885	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ChangeBChannelMaintenanceStatus3		aeb31c3c-a41a-45da-ab9e-05895b07e978	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ChangeBChannelMaintenanceStatus4		1866e170-dc82-4580-aed9-4efde4b80b4d	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ChangeBChannelMaintenanceStatus5		ab1f24fb-bfbb-4e32-8b44-848f2ab10c01	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ClearCallsDueToIncompatibleCallState	F	117881ab-2302-4ef4-8582-3fffacb0e947	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ClearCallsWhenDatalinkGoesDown	T	af63c3e9-552a-4984-ad29-733e60a989f4	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DbMGCPDeviceTimeout	5	cdb3207b-9776-40cc-847a-83cce72ddcf3	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DeviceStatusPollInterval_msec	3000	75521034-6c97-477f-b8ac-b6761ac89389	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
